PoS,Latin,English,Chapter,URN
noun,"agricola, agricolae m.",farmer,1,
noun,"aqua, aquae f.",water,1,
noun,"femina, feminae f.",woman,1,
noun,"fortuna, fortunae f.","chance, luck, fortune",1,
noun,"nauta, nautae m.",sailor,1,
noun,"pecunia, pecuniae f.","money, property",1,
noun,"rosa, rosae f.",rose,1,
verb,"amo, amare, amavi, amatus",to love,1,
verb,"debeo, debēre, debui, debitus","'ought to, should'; to owe; to be obligated to",1,
verb,"habeo, habēre, habui, habitus","to have, consider",1,
verb,"iaceo, iacēre, iacui, iaciturus","to lie (e.g., on the groun), lie dead",1,
verb,"iuvo, iuvare, iuvi, iutus","to help, please",1,
other,"-n (enclitic postpositive)",signals a yes-no question,1,
verb,"labora, laborare, laboravi, laboratus","to work, strive",1,
verb,"laudo, laudare, laudavi, laudatus","to praise",1,
verb,"moneo, monēre, monui, monitus","to advise, warn, remind",1,
verb,"opto, optare, optavi, optatus","to choose, desire, wish for",1,
verb,"supero, superare, superavi, superatus","to overcome, conquer, surpass",1,
verb,"taceo, tacēre, tacui, tacitus","to be silent ('I am silent')",1,
verb,"terreo, terrēre, terrui, territus","to terrify, scare",1,
verb,"timeo, timēre, timui, - ","to fear, be afraid (of)",1,
verb,"video, vidēre, vidi, visus","to see",1,
verb,"voco, vocare, vocavi, vocatus","to call, summon",1,
verb,"audeo, audēre, ausus sum, -","to see",2,
verb,"clamo, clamare, clamavi, clamatus","to shout",2,
verb,"dubito, dubitare, dubitavi, dubitatus","to hesitate, doubt",2,
verb,"rideo, ridēre, risi, risus","to laugh, laugh at",2,
verb,"soldeo, soldēre, solitus sum, -","to be accustomed",2,
verb,"aedifico, aedificare, aedificavi, aedificatus","to build",3,
verb,"do, dare, dedi, datus","to give",3,
verb,"impleo, implēre, implevi, impletus","to fill up; complete",3,
verb,"monstro, monstrare, monstravi, monstratus","to show, demonstrate",3,
verb,"narro, narrare, narravi, narratus","to tell (a story)",3,
verb,"paro, parare, paravi, paratus","to prepare",3,
verb,"porto, portare, portavi, portatus","to carry, bring",3,
verb,"pugno, pugnare, pugnavi, pugnatus","to fight",3,
verb,"ambulo, ambulare, ambulavi, ambulaturus","to walk",4,
verb,"erro, errare, erravi, erratus","to wander; err",4,
verb,"festino, festinare, festinavi, festinatus","to hurry, hasten",4,
verb,"navigo, navigare, navigavi, navigatus","to sail, sail over (across), navigate",4,
verb,"sedeo, sedēre, sedi, sessurus","to sit",4,
verb,"iacto, iactare, iactavi, iactatus","to throw",5,
verb,"sum, esse, fui, futurus","to be",5,
verb,"doleo, dolēre, dolui, doliturus","to grieve, mourn, suffer pain",6,
verb,"maneo, manēre, mansi, mansurus","to remain, stay",6,
verb,"moveo, movēre, movi, motus","to move, excite; affect",6,
verb,"nuntio, nuntiare, nuntiavi, nuntiatus","to announce, report",6,
verb,"oro, orare, oravi, oratus","to pray, beg, beg for (often with 2 accusatives, one of the person, the other of the thing)",6,
verb,"teneo, tenēre, tenui, tentus","to hold, possess, keep; restrain",6,
verb,"careo, carēre, carui, cariturus (+ abl)","to be without, free from; need, miss",7,
verb,"noceo, nocēre, nocui, nociturus (+ dat)","to harm, be harmful to",7,
verb,"pareo, parēre, parui, pariturus (+ dat)","to obey, be obedient to",7,
verb,"placeo, paccēre, placui, placiturus (+ dat)","to please, be pleasing to",7,
verb,"possum, posse, potui, -","to be able, 'I can'",7,
verb,"ago, agĕre, egi, actus","to do; perform; drive",8,
verb,"audio, audire, audivi, auditus","to hear",8,
verb,"capio, capĕre, cepi, captus","to take, seize, capture",8,
verb,"creo, creare, creavi, creatus","to create, elect, choose",8,
verb,"dico, dicĕre, dixi, dictus","to say, speak ,tell",8,
verb,"doceo, docēre, docui, doctus","to teach (ofen with 2 accusatives, one of the person, the other of the thing taught)",8,
verb,"dormio, dormire, dormivi, dormiturus","sleep",8,
verb,"duco, ducĕre, duxi, ductus","to lead",8,
verb,"facio, facĕre, feci, factus","to do, make",8,
verb,"iudico, iudicare, iudicavi, iudicatus","to judge; to decide",8,
verb,"lego, legĕre, legi, lectus","to read; choose, select",8,
verb,"mitto, mittĕre, misi, missus","to send",8,
verb,"rego, regĕre, rexi, rectus","to rule",8,
verb,"scribo, scribĕre, scripsi, scriptus","to write",8,
verb,"sentio, sentire, sensi, sensus","to feel, perceive",8,
verb,"valeo, valēre, valui, valiturus","to be well, healthy; to be strong",8,
verb,"venio, venire, veni, veniturus","to come",8,
